Start Date,End Date,Approving,Disapproving,Unsure/NoData,,,
10/10/1991,10/13/1991,66,28,6,0.015151515,0.035714286,-0.333333333
10/17/1991,10/20/1991,66,26,8,0,-0.076923077,0.25
10/24/1991,10/27/1991,62,29,9,-0.064516129,0.103448276,0.111111111
10/31/1991,11/3/1991,59,33,8,-0.050847458,0.121212121,-0.125
11/7/1991,11/10/1991,56,36,8,-0.053571429,0.083333333,0
11/14/1991,11/17/1991,56,36,8,0,0,0
11/21/1991,11/24/1991,52,39,9,-0.076923077,0.076923077,0.111111111
12/5/1991,12/8/1991,52,42,6,0,0.071428571,-0.5
12/12/1991,12/15/1991,50,41,9,-0.04,-0.024390244,0.333333333
1/3/1992,1/6/1992,46,47,7,-0.086956522,0.127659574,-0.285714286
1/16/1992,1/19/1992,46,48,6,0,0.020833333,-0.166666667
1/31/1992,2/2/1992,47,48,5,0.021276596,0,-0.2
2/6/1992,2/9/1992,44,48,8,-0.068181818,0,0.375
2/19/1992,2/20/1992,39,47,14,-0.128205128,-0.021276596,0.428571429
2/28/1992,3/1/1992,41,53,6,0.048780488,0.113207547,-1.333333333
3/11/1992,3/12/1992,41,47,12,0,-0.127659574,0.5
3/20/1992,3/22/1992,41,49,10,0,0.040816327,-0.2
3/26/1992,3/29/1992,42,51,7,0.023809524,0.039215686,-0.428571429
4/9/1992,4/12/1992,39,54,7,-0.076923077,0.055555556,0
4/20/1992,4/22/1992,42,48,10,0.071428571,-0.125,0.3
5/7/1992,5/10/1992,40,53,7,-0.05,0.094339623,-0.428571429
5/18/1992,5/20/1992,41,52,7,0.024390244,-0.019230769,0
6/4/1992,6/7/1992,37,56,7,-0.108108108,0.071428571,0
6/12/1992,6/14/1992,37,55,8,0,-0.018181818,0.125
6/26/1992,6/30/1992,38,55,7,0.026315789,0,-0.142857143
7/24/1992,7/26/1992,32,59,9,-0.1875,0.06779661,0.222222222
7/31/1992,8/2/1992,29,60,11,-0.103448276,0.016666667,0.181818182
8/10/1992,8/12/1992,35,58,7,0.171428571,-0.034482759,-0.571428571
8/21/1992,8/22/1992,40,54,6,0.125,-0.074074074,-0.166666667
8/31/1992,9/2/1992,39,54,7,-0.025641026,0,0.142857143
9/11/1992,9/15/1992,39,55,6,0,0.018181818,-0.166666667
9/17/1992,9/20/1992,36,54,10,-0.083333333,-0.018518519,0.4
10/1/1992,10/3/1992,33,58,9,-0.090909091,0.068965517,-0.111111111
10/13/1992,10/15/1992,34,56,10,0.029411765,-0.035714286,0.1
11/20/1992,11/22/1992,43,46,11,0.209302326,-0.217391304,0.090909091
12/4/1992,12/6/1992,49,47,4,0.12244898,0.021276596,-1.75
12/18/1992,12/20/1992,49,41,10,0,-0.146341463,0.6
1/8/1993,1/11/1993,56,37,7,0.125,-0.108108108,-0.428571429
