,Date,President,Approving,Disapproving,Unsure/NoData,Approve_change,Disapprove_change,Unsure_change,Polarity,Subjectivity,compound,Negative,Neutral,Positive
35,1963-11-27,Lyndon B. Johnson,78,2,20,-3.311258278,55.55555556,0.0,0.09961199691397707,0.4792733916248768,0.9993,0.145,0.554,0.301
36,1963-11-28,Lyndon B. Johnson,78,2,20,-3.311258278,55.55555556,0.0,0.34775252525252515,0.5031439393939394,0.9999,0.072,0.546,0.382
37,1964-02-01,Lyndon B. Johnson,73,9,18,6.41025641,0.0,-38.46153846,0.15067562770562765,0.457530882450882,0.9998,0.078,0.69,0.231
38,1964-02-21,Lyndon B. Johnson,79,9,12,-3.947368421,14.28571429,11.11111111,0.17780712530712536,0.44296819546819544,0.9996,0.105,0.525,0.37
39,1964-02-29,Lyndon B. Johnson,79,9,12,-3.947368421,14.28571429,11.11111111,0.1555535793863,0.4833234392241748,0.9999,0.081,0.719,0.2
40,1964-03-07,Lyndon B. Johnson,77,9,14,-2.666666667,21.73913043,-3.703703704,0.14095831452974306,0.40983108804537344,0.9998,0.049,0.783,0.168
41,1964-04-16,Lyndon B. Johnson,75,11,14,-0.67114094,4.347826087,0.0,0.17429719375406275,0.4585306989779833,0.9999,0.062,0.702,0.235
42,1964-05-06,Lyndon B. Johnson,75,10,15,-1.351351351,20.0,-11.11111111,0.17048500741682565,0.41070931787714965,0.9999,0.064,0.716,0.221
43,1964-05-22,Lyndon B. Johnson,74,13,13,0.0,0.0,0.0,0.22779694757796964,0.4851316080513159,0.9996,0.113,0.602,0.285
44,1965-01-04,Lyndon B. Johnson,71,15,14,-2.898550725,9.090909091,3.448275862,0.1519860431358947,0.4580431380357196,0.9999,0.116,0.58,0.304
45,1965-01-20,Lyndon B. Johnson,70,15,15,-2.941176471,16.66666667,-7.142857143,0.1746699134199134,0.43462932900432893,0.9989,0.14,0.588,0.271
46,1965-02-04,Lyndon B. Johnson,68,18,14,0.729927007,7.692307692,-16.66666667,0.17311503537113293,0.3783482806392213,0.9999,0.039,0.716,0.245
47,1965-03-13,Lyndon B. Johnson,68,18,14,0.0,16.27906977,-33.33333333,0.12701988321755764,0.41423846437799944,0.9997,0.1,0.687,0.213
48,1965-03-15,Lyndon B. Johnson,69,21,10,-5.34351145,4.545454545,20.0,0.12399373196248192,0.4465963203463204,0.9995,0.158,0.596,0.246
49,1965-03-20,Lyndon B. Johnson,67,22,11,0.0,-10.0,15.38461538,0.1525092163431386,0.4420169043755614,0.9999,0.036,0.766,0.198
50,1965-03-26,Lyndon B. Johnson,67,22,11,0.0,-10.0,15.38461538,0.11742694805194809,0.5177624458874458,0.7089,0.193,0.6,0.208
51,1965-03-26,Lyndon B. Johnson,67,22,11,0.0,-10.0,15.38461538,0.32963012477718373,0.5505644682115269,0.9996,0.008,0.645,0.348
52,1965-03-26,Lyndon B. Johnson,67,22,11,0.0,-10.0,15.38461538,0.11742694805194809,0.5177624458874458,0.7089,0.193,0.6,0.208
53,1965-03-26,Lyndon B. Johnson,67,22,11,0.0,-10.0,15.38461538,0.32963012477718373,0.5505644682115269,0.9996,0.008,0.645,0.348
54,1965-04-27,Lyndon B. Johnson,64,22,14,7.913669065,-18.91891892,-16.66666667,0.12068319246890666,0.45893570054284305,0.9967,0.15,0.666,0.184
55,1965-05-13,Lyndon B. Johnson,70,18,12,-4.47761194,10.0,7.692307692,0.06861433754039391,0.4568710241245451,0.9983,0.148,0.632,0.22
56,1965-06-01,Lyndon B. Johnson,69,19,12,-6.153846154,7.317073171,17.24137931,0.12639017269800196,0.3892007903128896,0.9998,0.086,0.71,0.204
57,1965-06-04,Lyndon B. Johnson,69,19,12,-6.153846154,7.317073171,17.24137931,0.10040620192479699,0.4059262340047464,0.9989,0.149,0.623,0.229
58,1965-06-25,Lyndon B. Johnson,65,21,14,0.0,0.0,0.0,0.08318222200684892,0.4491064159720875,0.9987,0.203,0.543,0.254
59,1965-07-13,Lyndon B. Johnson,65,20,15,-0.775193798,14.89361702,-25.0,0.13535672120087708,0.44315653442276814,0.9999,0.066,0.697,0.238
60,1965-07-28,Lyndon B. Johnson,65,22,13,-2.362204724,10.20408163,-8.333333333,0.13338571151071155,0.4410469738594738,0.9999,0.122,0.622,0.256
61,1965-08-06,Lyndon B. Johnson,65,22,13,-2.362204724,10.20408163,-8.333333333,0.10570735930735933,0.45918441558441564,0.9992,0.116,0.647,0.238
62,1965-08-25,Lyndon B. Johnson,64,25,11,0.775193798,-11.11111111,15.38461538,0.14113922051033861,0.45918663117420855,0.9999,0.055,0.707,0.238
63,1966-01-31,Lyndon B. Johnson,56,34,10,2.608695652,-21.42857143,31.03448276,0.1432816257816258,0.3367191758858425,0.9986,0.091,0.599,0.31
64,1966-02-23,Lyndon B. Johnson,58,28,14,-4.504504505,8.196721311,0.0,0.11037407164700744,0.4577543786488741,0.9999,0.16,0.527,0.313
65,1966-03-23,Lyndon B. Johnson,57,28,15,-14.0,16.41791045,9.090909091,0.10279292637187373,0.4180249399723085,0.992,0.192,0.563,0.245
66,1966-06-30,Lyndon B. Johnson,56,30,14,-14.28571429,22.07792208,-12.0,0.13813839507487044,0.4775895529788975,0.9996,0.168,0.578,0.254
67,1966-07-05,Lyndon B. Johnson,56,30,14,-14.28571429,22.07792208,-12.0,0.11332015950319517,0.41802526838241116,0.9996,0.087,0.749,0.164
68,1966-07-20,Lyndon B. Johnson,51,38,11,-9.677419355,2.564102564,24.13793103,0.10868900958854223,0.40750354007363354,0.9994,0.101,0.712,0.187
69,1966-10-17,Lyndon B. Johnson,44,41,15,5.376344086,0.0,-20.0,0.19935064935064936,0.44466089466089465,0.9928,0.095,0.593,0.311
70,1966-12-31,Lyndon B. Johnson,47,37,16,-3.296703297,6.329113924,-6.666666667,0.19915753352338716,0.44537120332242297,0.9994,0.115,0.673,0.212
71,1967-01-10,Lyndon B. Johnson,46,37,17,-2.222222222,10.84337349,-25.92592593,0.14384197111299898,0.4330786238683426,1.0,0.132,0.612,0.257
72,1967-03-09,Lyndon B. Johnson,45,41,14,4.255319149,-9.333333333,9.677419355,0.15284549986716053,0.4313240059178684,0.9998,0.072,0.732,0.196
73,1967-07-27,Lyndon B. Johnson,40,48,12,-3.896103896,0.0,11.11111111,0.09640775890775889,0.41745788933288946,-0.9965,0.23,0.572,0.198
74,1967-09-29,Lyndon B. Johnson,38,50,12,8.43373494,-5.263157895,-9.090909091,0.08031426906426901,0.4200893947322521,0.9979,0.179,0.582,0.239
75,1967-11-17,Lyndon B. Johnson,42,46,12,10.63829787,-15.0,7.692307692,0.16931015882119976,0.4425389542108786,0.9995,0.141,0.655,0.204
76,1968-04-01,Lyndon B. Johnson,50,38,12,-14.94252874,13.63636364,4.0,0.1635030023739701,0.44310280221570547,0.9998,0.108,0.608,0.284
77,1968-04-03,Lyndon B. Johnson,50,38,12,-14.94252874,13.63636364,4.0,0.06948051948051946,0.283008658008658,0.9854,0.061,0.722,0.217
78,1968-10-31,Lyndon B. Johnson,43,44,13,7.52688172,-10.0,3.703703704,0.11942193145200666,0.42878647042180873,0.9997,0.079,0.658,0.263
79,1969-01-20,Richard M. Nixon,59,5,36,5.6,33.33333333,-20.0,0.14209674714956408,0.5120661087738553,0.9998,0.113,0.569,0.318
80,1969-11-03,Richard M. Nixon,67,19,14,-11.66666667,15.55555556,20.0,0.11939181952068552,0.4053590023950848,0.9993,0.173,0.585,0.243
81,1970-01-22,Richard M. Nixon,64,24,12,-16.36363636,21.31147541,17.24137931,0.1551924947711463,0.44582530765115064,0.9999,0.131,0.593,0.276
82,1970-04-30,Richard M. Nixon,57,32,11,0.0,-6.666666667,15.38461538,0.11054453978561123,0.3915143140589568,0.0765,0.191,0.611,0.199
83,1971-05-20,Richard M. Nixon,48,37,15,2.040816327,2.631578947,-15.38461538,0.18810200216450212,0.48762175324675333,0.9829,0.119,0.579,0.303
84,1972-01-25,Richard M. Nixon,52,37,11,4.587155963,-8.823529412,4.347826087,0.0315058405281869,0.36696479963239753,0.9349,0.153,0.673,0.174
85,1972-11-06,Richard M. Nixon,62,28,10,-12.72727273,16.41791045,13.04347826,0.19664351851851855,0.35309744268077603,0.9975,0.09,0.586,0.325
86,1972-11-07,Richard M. Nixon,62,28,10,-12.72727273,16.41791045,13.04347826,0.2638443256090315,0.48874034462269744,0.9995,0.021,0.553,0.426
87,1973-01-20,Richard M. Nixon,67,25,8,-9.836065574,15.25423729,15.78947368,0.20799709759937038,0.5482131378722287,0.9999,0.084,0.536,0.38
88,1973-01-23,Richard M. Nixon,67,25,8,-9.836065574,15.25423729,15.78947368,0.13983793983793985,0.43797036297036296,0.9996,0.139,0.501,0.36
89,1973-04-30,Richard M. Nixon,45,42,13,-2.272727273,5.617977528,-13.04347826,0.08044240669240672,0.48202298077298056,0.9997,0.112,0.617,0.271
90,1973-08-15,Richard M. Nixon,36,54,10,-7.462686567,6.086956522,-11.11111111,0.10482275440608765,0.5025548988048988,0.9994,0.138,0.639,0.223
91,1974-01-30,Richard M. Nixon,28,59,13,-7.692307692,7.086614173,-23.80952381,0.16114615987460804,0.4505506522532385,0.9999,0.091,0.638,0.271
92,1974-02-25,Richard M. Nixon,26,62,12,-1.960784314,2.362204724,-9.090909091,0.1394148200003219,0.44248603936336267,0.9986,0.125,0.701,0.174
93,1974-04-29,Richard M. Nixon,25,58,17,1.960784314,4.918032787,-25.92592593,0.11573731661924086,0.4649634249780025,0.9996,0.072,0.767,0.161
